episode:0, reward:-0.006640720367431641, actor loss:-0.09307550638914108, critic loss:0.0004259034467395395
episode:10, reward:0.048086535731951395, actor loss:0.0053790356032550335, critic loss:0.0019547478295862675
episode:20, reward:-0.006186219453811646, actor loss:-0.0905253142118454, critic loss:0.010400529019534588
episode:30, reward:-0.006204267740249634, actor loss:-0.0007883988437242806, critic loss:2.7810117899207398e-05
episode:40, reward:-0.004324832260608673, actor loss:-0.0616203136742115, critic loss:0.01219073124229908
episode:50, reward:-0.003344310224056244, actor loss:-0.0013029788387939334, critic loss:1.1313676623103675e-05
episode:60, reward:-0.007078689217567444, actor loss:-0.07546652853488922, critic loss:0.015203611925244331
episode:70, reward:-0.008061142563819885, actor loss:0.0006497564609162509, critic loss:1.823572006287577e-06
episode:80, reward:0.0768215811252594, actor loss:-0.1544301062822342, critic loss:0.031587500125169754
episode:90, reward:1.2864713218573174, actor loss:0.23064084351062775, critic loss:0.0487993098795414
episode:100, reward:0.32922582189242044, actor loss:0.03065156564116478, critic loss:0.004564186092466116
episode:110, reward:-0.0192744243144989, actor loss:-0.10900956392288208, critic loss:0.010066859424114227
episode:120, reward:-0.008648349642753602, actor loss:0.018791528418660164, critic loss:0.00026866752887144685
episode:130, reward:0.4136091056820282, actor loss:0.11368994414806366, critic loss:0.06588415801525116
episode:140, reward:0.26981060305045096, actor loss:-0.0399663969874382, critic loss:0.03164827078580856
episode:150, reward:-0.0010614100098609925, actor loss:-0.062428344041109085, critic loss:0.003158328589051962
episode:160, reward:-0.019821014404296875, actor loss:-0.034513503313064575, critic loss:0.00927029363811016
episode:170, reward:1.0733394475777946, actor loss:0.044047776609659195, critic loss:0.04328732565045357
episode:180, reward:1.0982769473393759, actor loss:0.03439275175333023, critic loss:0.0441795215010643
episode:190, reward:-0.007952508330345155, actor loss:-0.04639338701963425, critic loss:0.01325148530304432
episode:200, reward:-0.002801401913166046, actor loss:-0.00941950548440218, critic loss:0.005243134684860706
episode:210, reward:0.07649930655956268, actor loss:-0.0005800884682685137, critic loss:0.0022176518104970455
episode:220, reward:-0.003169257640838623, actor loss:-0.012244702316820621, critic loss:0.0035010643769055605
episode:230, reward:1.1330024727185568, actor loss:0.041754595935344696, critic loss:0.04509683698415756
episode:240, reward:-0.002836446762084961, actor loss:-0.016985906288027763, critic loss:0.004062680061906576
episode:250, reward:-0.021182957887649536, actor loss:-0.021944984793663025, critic loss:0.001509705907665193
episode:260, reward:-0.03613577544689178, actor loss:-0.007369603030383587, critic loss:0.0010856802109628916
episode:270, reward:-0.00695437490940094, actor loss:-0.012742796912789345, critic loss:0.002688407199457288
episode:280, reward:1.867968403773403, actor loss:0.019564175978302956, critic loss:0.011490730568766594
episode:290, reward:0.41123806116439543, actor loss:0.03433677926659584, critic loss:0.084674172103405
